file_name,motif_type,symmetry_class,color_scheme,cultural_meaning
sample_images/kyrgyz1.jpg,scrolling ram-horn inspired ornamental pattern with floral curves,radial symmetry,blue and white,"Symbolizes continuity, harmony, and traditional Kyrgyz ornamental flow derived from natural forms"
sample_images/kyrgyz2.png,koshkor-muyuz (ramâ€™s horns) motif in quilt composition,diagonal symmetry,red and orange with white accents,"Represents strength, wealth, and protection; widely used in Kyrgyz felt crafts (shyrdak)"
sample_images/kyrgyz3.png,stylized ram-horn motifs in geometric layout,diagonal symmetry,red and orange,"Expresses vitality, endurance, and cultural identity rooted in nomadic heritage"
sample_images/kyrgyz4.jpg,repeating border koshkor-muyuz scroll pattern,translational symmetry,black and white,"Used as decorative border motif symbolizing continuity and protection"
sample_images/kyrgyz5.jpg,paired koshkor-muyuz mirrored motif,bilateral symmetry,red and white,"Represents duality, balance, and harmony between opposing forces"
sample_images/kyrgyz6.jpg,radial koshkor-muyuz circular composition,radial symmetry,green and black,"Symbolizes unity, cycle of life, and wholeness in nomadic worldview"
sample_images/kyrgyz7.jpg,centralized koshkor-muyuz with geometric border,bilateral symmetry,teal and white,"Represents order, protection, and structured space within traditional designs"
sample_images/kyrgyz8.jpg,layered medallion koshkor-muyuz composition,bilateral symmetry,gray and white,"Symbolizes stability and continuity, often used in formal shyrdak layouts"
sample_images/kyrgyz9.jpg,isolated koshkor-muyuz emblem variations,radial symmetry,red and blue,"Represents identity marks and ornamental symbols used across textiles"
sample_images/kyrgyz10.jpg,complex interwoven koshkor-muyuz and knot motif,radial symmetry,black and white,"Symbolizes interconnectedness, eternity, and complexity of life patterns"
sample_images/kyrgyz11.jpg,koshkor-muyuz (ram horn) continuous scroll composition,bilateral symmetry,blue and white,"Represents balance, endurance, and continuity of life in nomadic culture"
sample_images/kyrgyz12.jpg,centralized koshkor-muyuz with framed border ornament,bilateral symmetry,dark blue and white,"Symbolizes protection and order, with the border acting as a symbolic boundary"
sample_images/kyrgyz13.jpg,layered koshkor-muyuz with dense border pattern,bilateral symmetry,navy blue and white,"Expresses unity and interconnectedness, common in shyrdak compositions"
sample_images/kyrgyz14.jpg,stylized koshkor-muyuz with simplified geometric layout,bilateral symmetry,red white and beige,"Represents strength and tradition in a more modern simplified interpretation"
sample_images/kyrgyz15.jpg,tree-like koshkor-muyuz branching motif,bilateral symmetry,beige and brown,"Symbolizes growth, life, and connection to nature and ancestry"
sample_images/kyrgyz16.jpg,elongated koshkor-muyuz with framed ornamental border,bilateral symmetry,white blue and brown,"Represents harmony and protection, combining central life motif with enclosing patterns"
sample_images/kyrgyz17.jpg,koshkor-muyuz paired motifs with border scrolls,bilateral symmetry,red black and white,"Symbolizes duality, strength, and protection in traditional Kyrgyz felt art"
sample_images/kyrgyz18.jpg,single koshkor-muyuz horn motif,bilateral symmetry,black and white,"Represents strength and resilience derived from ram horn symbolism"
sample_images/kyrgyz19.jpg,stylized koshkor-muyuz with floral extensions,bilateral symmetry,black and white,"Combines horn symbolism with growth and ornamental expression"
sample_images/kyrgyz20.png,radial koshkor-muyuz cross motif,radial symmetry,black and white,"Symbolizes unity and balance in four directions"
sample_images/kyrgyz21.png,vertical koshkor-muyuz spiral motif,bilateral symmetry,red and white,"Represents motion, energy, and continuous life flow"
sample_images/kyrgyz22.jpg,horizontal mirrored koshkor-muyuz composition,bilateral symmetry,red and white,"Expresses duality, harmony, and protection through symmetry"
sample_images/kyrgyz23.png,repeating koshkor-muyuz tile pattern,grid symmetry,brown and white,"Represents continuity and repetition of life patterns in decorative compositions"
sample_images/kyrgyz24.jpg,stylized koshkor-muyuz with heart-like central form,bilateral symmetry,red and white,"Symbolizes unity, love, and harmony within traditional ornamentation"
sample_images/kyrgyz25.jpg,corner koshkor-muyuz ornamental element,bilateral symmetry,blue gradient,"Used as structural decorative element marking edges and transitions"
sample_images/kyrgyz26.jpg,simplified koshkor-muyuz horn motif,bilateral symmetry,black and white,"Represents strength and minimalistic abstraction of traditional horn symbol"
sample_images/kyrgyz27.jpg,ornamental koshkor-muyuz with central accent,bilateral symmetry,pink and white,"Symbolizes vitality and expressive decorative variation"
sample_images/kyrgyz28.jpg,single koshkor-muyuz emblem,bilateral symmetry,black and white,"Represents core identity symbol derived from ram horn motif"
sample_images/kyrgyz29.jpg,minimal koshkor-muyuz variation,bilateral symmetry,green and white,"Simplified representation of growth and life energy"
sample_images/kyrgyz30.png,repeating border koshkor-muyuz pattern,translational symmetry,red and white,"Used as protective and continuous framing ornament"
sample_images/kyrgyz31.png,repeating border horn motif,translational symmetry,black and white,"Symbolizes continuity and boundary protection"
sample_images/kyrgyz32.png,composite koshkor-muyuz ornamental variations,bilateral symmetry,red and white,"Represents diversity of motif adaptations in Kyrgyz design"
sample_images/kyrgyz33.png,stylized koshkor-muyuz with elongated curves,bilateral symmetry,brown and white,"Symbolizes elegance and continuity of traditional ornamental flow"
